Image,Caption,Word Count
bird (1).jpg,a small bird sitting on top of a rock,9
mountain (1).jpg,a view of a mountain with snow on it,9
fishes (1).jpg,a large group of fish swimming in the ocean,9
galaxy (1).jpg,the milky in the night sky,6
dog (1).jpg,a small white dog eating a piece of food,9
beach (1).jpg,the sand is brown,4
flower (1).jpg,a pink flower with green leaves in the background,9
cat (1).jpg,an orange cat laying on a blue blanket,8
car (1).jpg,a blue car driving down a winding road,8
pizza (1).jpg,a close up of a pizza on a wooden board,10
